CW,simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
32.0,4.5,6.0,3.0,0.783522256,0.7771896,0.26200999999999997,0.069204,0.069204,0.032729999999999995,0.8527262560000001,0.8463936000000001,0.5877680648044249,0.5012389897518899
80.0,4.5,6.0,3.0,0.757826576,0.7517016,0.11857,0.173646,0.173646,0.01215,0.931472576,0.9253475999999999,0.7177792968427786,0.6686250705452226
128.0,4.5,6.0,3.0,0.695939184,0.6903144,0.07809,0.252354,0.252354,0.01057,0.948293184,0.9426684,0.8196288275479933,0.7773007679033239
176.0,4.5,6.0,3.0,0.640579148,0.6354018,0.05787,0.314478,0.314478,0.00729,0.9550571480000001,0.9498798,0.8933246008292232,0.8532531604960013
224.0,4.5,6.0,3.0,0.590957088,0.5861808,0.04851,0.366396,0.366396,0.0046,0.957353088,0.9525767999999999,0.9437898287058912,0.9036175864569979
272.0,4.5,6.0,3.0,0.5491634999999999,0.544725,0.037930000000000005,0.410166,0.410166,0.00383,0.9593295,0.9548909999999999,0.9741031552047138,0.9345423887128623
320.0,4.5,6.0,3.0,0.513766612,0.5096142,0.03267,0.445908,0.445908,0.00297,0.959674612,0.9555222000000001,0.9888726350241452,0.9490377832174822
368.0,4.5,6.0,3.0,0.48114071999999997,0.477252,0.02817,0.47860199999999997,0.47860199999999997,0.00238,0.95974272,0.9558540000000001,0.9937112681605672,0.9537253034424487
370.25825825825825,,,,0.4797834403548119,0.4759056902858163,0.027953440234143572,0.47996145613908325,0.47996145613908325,0.0023612612469688737,0.9597448964938953,0.9558671464248997,0.9937228557717683,0.9537373539932158
416.0,4.5,6.0,3.0,0.45461755200000004,0.45094320000000004,0.02438,0.504954,0.504954,0.0020900000000000003,0.9595715520000001,0.9558972000000001,0.9902381848480791,0.9502028756898596
464.0,4.5,6.0,3.0,0.426717052,0.4232682,0.023280000000000002,0.532116,0.532116,0.0019299999999999999,0.9588330519999999,0.9553841999999999,0.9810121114912045,0.9405966259807661
512.0,4.5,6.0,3.0,0.404178892,0.40091219999999994,0.02185,0.554052,0.554052,0.0017100000000000001,0.9582308919999999,0.9549642,0.9698229563170587,0.92925699773862
