CW,simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
32,0,5,8,0.63591364,0.630774,0.2242,0.25962,0.25962,0.0228,0.89553364,0.890394,0.8499361017731168,0.7611463709882899
32,1,5,8,0.62382796,0.618786,0.2312,0.26796,0.26796,0.0363,0.89178796,0.886746,0.8626334849656918,0.7692861557852451
32,2,5,8,0.72279988,0.716958,0.2200,0.16326,0.16326,0.0299,0.88605988,0.880218,0.7149074969394716,0.6334508509492887
32,3,5,8,0.73809752,0.732132,0.2111,0.15222,0.15222,0.0121,0.89031752,0.884352,0.6978192593850557,0.6212807124239396
32,4,5,8,0.715886,0.7101,0.2181,0.17142,0.17142,0.0335,0.887306,0.88152,0.7264666085720922,0.6445981805856689
32,5,5,8,0.65725412,0.651942,0.2274,0.2322,0.2322,0.0354,0.88945412,0.884142,0.8140861571248578,0.724092286489672
32,6,5,8,0.71523272,0.709452,0.2233,0.16902,0.16902,0.0382,0.88425272,0.878472,0.7238157817434315,0.6400360737855557
32,7,5,8,0.7164304,0.71064,0.2227,0.16968,0.16968,0.0211,0.8861104,0.88032,0.7242612505892609,0.6417754264641502
32,8,5,8,0.73994848,0.733968,0.2197,0.1431,0.1431,0.0368,0.88304848,0.877068,0.6864196714575057,0.6061418475226498
32,9,5,8,0.68001004,0.674514,0.2189,0.21432,0.21432,0.0075,0.89433004,0.888834,0.7866936028648329,0.7035637213178502
80,0,5,8,0.49148432,0.487512,0.0980,0.46602,0.46602,0.0037,0.95750432,0.953532,0.9992932340320181,0.9568275885324283
80,1,5,8,0.45827592,0.454572,0.1115,0.49368,0.49368,0.0191,0.95195592,0.948252,0.9986187488124302,0.9506410297549859
80,2,5,8,0.61304884,0.608094,0.1021,0.3336,0.3336,0.0128,0.94664884,0.941694,0.9198431593665101,0.870768459796242
80,3,5,8,0.61337548,0.608418,0.0931,0.33618,0.33618,0.0146,0.94955548,0.944598,0.9214737984318093,0.8749904949773399
80,4,5,8,0.56437948,0.559818,0.1043,0.38472,0.38472,0.0105,0.94909948,0.944538,0.9654070751747946,0.9162673530367185
80,5,5,8,0.49355304,0.489564,0.1034,0.4608,0.4608,0.0095,0.95435304,0.950364,0.9988235488957798,0.9532302903122761
80,6,5,8,0.5953014,0.59049,0.0993,0.3534,0.3534,0.0126,0.9487014,0.94389,0.9389533684860557,0.890786375217437
80,7,5,8,0.62105152,0.616032,0.0973,0.32772,0.32772,0.0073,0.94877152,0.943752,0.9127535588097655,0.8659945813773506
80,8,5,8,0.65213676,0.646866,0.0948,0.29604,0.29604,0.0060,0.94817676,0.942906,0.8763896910788522,0.8309723377845469
80,9,5,8,0.55109612,0.546642,0.0978,0.40146,0.40146,0.0093,0.95255612,0.948102,0.9759173229971599,0.9296160186349615
128,0,5,8,0.39926296,0.396036,0.0602,0.57072,0.57072,0.0020,0.96998296,0.966756,0.9697015424144195,0.9405939724277042
128,1,5,8,0.35609204,0.353214,0.0783,0.60984,0.60984,0.0097,0.96593204,0.963054,0.9354449516562063,0.9035762504609808
128,2,5,8,0.51696224,0.512784,0.0656,0.44382,0.44382,0.0070,0.96078224,0.956604,0.994237951403232,0.9552461660422084
128,3,5,8,0.5150024,0.51084,0.0624,0.4467,0.4467,0.0072,0.9617024,0.95754,0.9949811365971355,0.956875747020193
128,4,5,8,0.4564794,0.45279,0.0684,0.50628,0.50628,0.0089,0.9627594,0.95907,0.997331463573433,0.9601902414710803
128,5,5,8,0.38837496,0.385236,0.0689,0.57942,0.57942,0.0045,0.96779496,0.964656,0.962493825191857,0.9314966730518002
128,6,5,8,0.50199124,0.497934,0.0647,0.45924,0.45924,0.0101,0.96123124,0.957174,0.9980258349379826,0.9593336108694723
128,7,5,8,0.53764944,0.533304,0.0657,0.42228,0.42228,0.0061,0.95992944,0.955584,0.9857611587301786,0.9462611570736115
