simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
1,2,6,0.45794928,0.454248,0.0444,0.50994,0.50994,0.0099,0.96788928,0.964188,0.9971229393861519,0.9651046038739461
2,2,6,0.44466592,0.441072,0.0353,0.5286,0.5286,0.0003,0.97326592,0.969672,0.9926176331581616,0.9660809139439007
3,2,6,0.4700894,0.46629,0.0359,0.50118,0.50118,0.0030,0.9712694,0.96747,0.9989763911821399,0.9702752000776422
4,2,6,0.45408404,0.450414,0.0527,0.50928,0.50928,0.0186,0.96336404,0.959694,0.9967280218988113,0.9602119339576473
5,2,6,0.46186896,0.458136,0.0397,0.50784,0.50784,0.0070,0.96970896,0.965976,0.9977576113306554,0.9675344956155341
6,2,6,0.52501936,0.520776,0.0369,0.44304,0.44304,0.0065,0.96805936,0.963816,0.9928796445005278,0.9611664332122085
7,2,6,0.53329424,0.528984,0.0380,0.43404,0.43404,0.0073,0.96733424,0.963024,0.9895817044604139,0.9572562660021191
8,2,6,0.49360748,0.489618,0.0409,0.47478,0.47478,0.0060,0.96838748,0.964398,0.9996221478237763,0.9680215726832542
9,2,6,0.5209908,0.51678,0.0328,0.4491,0.4491,0.0031,0.9700908,0.96588,0.9945381057304922,0.9647922666185778
10,2,6,0.57847944,0.573804,0.0338,0.38934,0.38934,0.0025,0.96781944,0.963144,0.9632127162114078,0.9322159916046036
1,7,4,0.47384576,0.470016,0.0408,0.4914,0.4914,0.0011,0.96524576,0.961416,0.9996693681836879,0.9649266190411836
2,7,4,0.485877,0.48195,0.0525,0.47412,0.47412,0.0072,0.959997,0.95607,0.9998500356080099,0.9598530346335826
3,7,4,0.47640444,0.472554,0.0485,0.48588,0.48588,0.0044,0.96228444,0.958434,0.9999030471149517,0.962191143747305
4,7,4,0.48865344,0.484704,0.0402,0.47616,0.47616,0.0006,0.96481344,0.960864,0.9998323496108396,0.9646516886513168
5,7,4,0.47428128,0.470448,0.0497,0.48876,0.48876,0.0012,0.96304128,0.959208,0.9997740187643189,0.9628236507415338
6,7,4,0.47586004,0.472014,0.0488,0.48672,0.48672,0.0036,0.96258004,0.958734,0.9998727295818326,0.9624575320357895
7,7,4,0.485877,0.48195,0.0498,0.47382,0.47382,0.0110,0.959697,0.95577,0.9998421873891499,0.959545547710805
8,7,4,0.48005192,0.476172,0.0480,0.48162,0.48162,0.0073,0.96167192,0.957792,0.9999973412261038,0.9616693631318024
9,7,4,0.50531208,0.501228,0.0421,0.45738,0.45738,0.0043,0.96269208,0.958608,0.9975271232783627,0.9603114611652633
10,7,4,0.50073912,0.496692,0.0425,0.46254,0.46254,0.0026,0.96327912,0.959232,0.9984299263943532,0.9617667008788174
1,2,1,0.46257668,0.458838,0.0045,0.45534,0.45534,0.0000,0.91791668,0.914178,0.9999378494148597,0.917859630941228
2,2,1,0.45669716,0.453006,0.0050,0.46104,0.46104,0.0000,0.91773716,0.914046,0.9999776075661745,0.9177166096313756
3,2,1,0.45604388,0.452358,0.0038,0.4617,0.4617,0.0000,0.91774388,0.914058,0.999962018007833,0.9177090222591385
4,2,1,0.45495508,0.451278,0.0052,0.46254,0.46254,0.0000,0.91749508,0.913818,0.9999316615945772,0.9174323798492496
5,2,1,0.46203228,0.458298,0.0052,0.4554,0.4554,0.0000,0.91743228,0.913698,0.9999477417362924,0.9173843365819779
6,2,1,0.45686048,0.453168,0.0050,0.46002,0.46002,0.0000,0.91688048,0.913188,0.9999881256018475,0.9168695925961222
7,2,1,0.45794928,0.454248,0.0073,0.4593,0.4593,0.0000,0.91724928,0.913548,0.9999978315223009,0.9172472909653918
8,2,1,0.46203228,0.458298,0.0035,0.45642,0.45642,0.0000,0.91845228,0.914718,0.9999626621547766,0.9184179869709242
9,2,1,0.45985468,0.456138,0.0052,0.45732,0.45732,0.0000,0.91717468,0.913458,0.9999923627176723,0.9171676752780251
10,2,1,0.4564794,0.45279,0.0040,0.4611,0.4611,0.0000,0.9175794,0.91389,0.9999746429676253,0.9175561329094478
1,3,8,0.46442764,0.460674,0.0675,0.50016,0.50016,0.0060,0.96458764,0.960834,0.9986296091351573,0.9632657779098038
2,3,8,0.54238572,0.538002,0.0669,0.41802,0.41802,0.0083,0.96040572,0.956022,0.9835081317698505,0.9445668354182782
3,3,8,0.45228752,0.448632,0.0643,0.51408,0.51408,0.0051,0.96636752,0.962712,0.9959279367337528,0.9624324103201136
4,3,8,0.50389664,0.499824,0.0683,0.45756,0.45756,0.0101,0.96145664,0.957384,0.9976827007928194,0.9592286572903894
5,3,8,0.44390376,0.440316,0.0722,0.52008,0.52008,0.0089,0.96398376,0.960396,0.9937942239633367,0.9580014926824594
6,3,8,0.48870788,0.484758,0.0675,0.47334,0.47334,0.0119,0.96204788,0.958098,0.9997448921976471,0.9618024540795749
7,3,8,0.499487,0.49545,0.0607,0.46584,0.46584,0.0033,0.965327,0.96129,0.9987865651011381,0.9641556385293863
8,3,8,0.49137544,0.487404,0.0619,0.47364,0.47364,0.0058,0.96501544,0.961044,0.9996623484514698,0.9646896010423285
9,3,8,0.48957892,0.485622,0.0756,0.46662,0.46662,0.0251,0.95619892,0.952242,0.9994238227464286,0.9556479799324065
10,3,8,0.453213,0.44955,0.0621,0.5139,0.5139,0.0041,0.967113,0.96345,0.9960777962083105,0.9633197857244078
1,2,5,0.50841516,0.504306,0.0346,0.45738,0.45738,0.0059,0.96579516,0.961686,0.9972154315222689,0.9631058372415187
2,2,5,0.41053204,0.407214,0.0312,0.56148,0.56148,0.0027,0.97201204,0.968694,0.9764515722328261,0.9491226846872366
3,2,5,0.52621704,0.521964,0.0318,0.44046,0.44046,0.0023,0.96667704,0.962424,0.9921914171312405,0.9591286622258328
4,2,5,0.52006532,0.515862,0.0352,0.44334,0.44334,0.0130,0.96340532,0.959202,0.9936974902037684,0.9573334485329584
5,2,5,0.44139952,0.437832,0.0397,0.52428,0.52428,0.0133,0.96567952,0.962112,0.9926877482518633,0.9586182282417403
6,2,5,0.51451244,0.510354,0.0336,0.4521,0.4521,0.0025,0.96661244,0.962454,0.9958482544444648,0.962599311098305
7,2,5,0.50993948,0.505818,0.0286,0.45888,0.45888,0.0005,0.96881948,0.964698,0.9972301105688081,0.966135957161615
8,2,5,0.44771456,0.444096,0.0308,0.52344,0.52344,0.0006,0.97115456,0.967536,0.9939566970248224,0.9652855787581947
9,2,5,0.52022864,0.516024,0.0319,0.44502,0.44502,0.0096,0.96524864,0.961044,0.9939656782585974,0.9594240191457887
