simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
1,1,1,0.4578404,0.45414,0.0000,0.46158,0.46158,0.0000,0.9194204,0.91572,0.9999834569780337,0.9194051900081266
2,1,1,0.46154232,0.457812,0.0000,0.45684,0.45684,0.0000,0.91838232,0.914652,0.9999737840291224,0.9183582437158444
3,1,1,0.45762264,0.453924,0.0000,0.46134,0.46134,0.0000,0.91896264,0.915264,0.9999836368683296,0.9189476028933216
4,1,1,0.45843924,0.454734,0.0000,0.45966,0.45966,0.0000,0.91809924,0.914394,0.9999982320069334,0.9180976168069092
5,1,1,0.46061684,0.456894,0.0000,0.45786,0.45786,0.0000,0.91847684,0.914754,0.9999909908713052,0.9184685653239452
6,1,1,0.45909252,0.455382,0.0000,0.45888,0.45888,0.0000,0.91797252,0.914262,0.9999999464030309,0.9179724707994552
7,1,1,0.45849368,0.454788,0.0000,0.4605,0.4605,0.0000,0.91899368,0.915288,0.9999952337887711,0.9189892998820032
8,1,1,0.46116124,0.457434,0.0000,0.45786,0.45786,0.0000,0.91902124,0.915294,0.9999870967980043,0.9190093816833019
9,1,1,0.4608346,0.45711,0.0000,0.45738,0.45738,0.0000,0.9182146,0.91449,0.9999858452891496,0.9182016029378384
10,1,1,0.46018132,0.456462,0.0000,0.45822,0.45822,0.0000,0.91840132,0.914682,0.999995439316496,0.9183971314622498
1,2,2,0.45914696,0.455436,0.0119,0.49182,0.49182,0.0029,0.95096696,0.947256,0.998820940094927,0.9498457129864148
2,2,2,0.4619234,0.45819,0.0082,0.49074,0.49074,0.0000,0.9526634,0.94893,0.9990858671186604,0.9517925390612113
3,2,2,0.46704076,0.463266,0.0096,0.48492,0.48492,0.0001,0.95196076,0.948186,0.9996473800770146,0.9516250796701237
4,2,2,0.45277748,0.449118,0.0098,0.5001,0.5001,0.0000,0.95287748,0.949218,0.997539678961878,0.9505330954892034
5,2,2,0.46241336,0.458676,0.0072,0.49104,0.49104,0.0002,0.95345336,0.949716,0.9990993614600517,0.9525946431579408
6,2,2,0.4575682,0.45387,0.0083,0.49506,0.49506,0.0000,0.9526282,0.94893,0.9984534870737037,0.9511549481747457
7,2,2,0.61887392,0.613872,0.0088,0.3204,0.3204,0.0006,0.93927392,0.934272,0.9082830774748867,0.8531266066495005
8,2,2,0.46753072,0.463752,0.0125,0.48348,0.48348,0.0014,0.95101072,0.947232,0.9997188169052266,0.9507433118625876
9,2,2,0.4502188,0.44658,0.0093,0.50304,0.50304,0.0000,0.9532588,0.94962,0.996938999039988,0.95034087389806
10,2,2,0.46758516,0.463806,0.0080,0.48492,0.48492,0.0001,0.95250516,0.948726,0.9996688984746629,0.9521897840886325
1,3,3,0.44684352,0.443232,0.0190,0.51666,0.51666,0.0001,0.96350352,0.959892,0.9947768205902868,0.9584709682531498
2,3,3,0.4499466,0.44631,0.0189,0.51312,0.51312,0.0001,0.9630666,0.95943,0.995715588600599,0.9589404264805776
3,3,3,0.42452312,0.421092,0.0274,0.5361,0.5361,0.0073,0.96062312,0.957192,0.9866886383153994,0.9478359182070906
4,3,3,0.53476412,0.530442,0.0187,0.42264,0.42264,0.0016,0.95740412,0.953082,0.9864701967903529,0.9444506306642946
5,3,3,0.42964048,0.426168,0.0195,0.53436,0.53436,0.0012,0.96400048,0.960528,0.9883371177381791,0.9527574559014212
6,3,3,0.5373228,0.53298,0.0183,0.42006,0.42006,0.0003,0.9573828,0.95304,0.9852197296238984,0.9432324233625707
7,3,3,0.45615276,0.452466,0.0243,0.50466,0.50466,0.0018,0.96081276,0.957126,0.9974576807618306,0.9583700672359734
8,3,3,0.52393056,0.519696,0.0218,0.43362,0.43362,0.0003,0.95755056,0.953316,0.9911832687310628,0.9491080940360597
9,3,3,0.43982076,0.436266,0.0212,0.52272,0.52272,0.0026,0.96254076,0.958986,0.9926370252727644,0.9554535967101859
10,3,3,0.45833036,0.454626,0.0217,0.50322,0.50322,0.0015,0.96155036,0.957846,0.9978252833499527,0.959459260422249
1,4,4,0.51859544,0.514404,0.0395,0.44202,0.44202,0.0031,0.96061544,0.956424,0.9936856464812039,0.9545497745162261
2,4,4,0.40247492,0.399222,0.0357,0.56634,0.56634,0.0013,0.96881492,0.965562,0.9721874255197199,0.9418696828798935
3,4,4,0.5316066,0.52731,0.0357,0.42996,0.42996,0.0003,0.9615666,0.95727,0.9889490178636384,0.9509403446804782
4,4,4,0.46078016,0.457056,0.0450,0.50016,0.50016,0.0090,0.96094016,0.957216,0.9983234115791912,0.9593290588546539
5,4,4,0.46045352,0.456732,0.0391,0.5022,0.5022,0.0088,0.96265352,0.958932,0.9981229158399378,0.96084653832598
6,4,4,0.46230448,0.458568,0.0334,0.5028,0.5028,0.0033,0.96510448,0.961368,0.9982424756842759,0.9634082854091858
7,4,4,0.53764944,0.533304,0.0318,0.4248,0.4248,0.0006,0.96244944,0.958104,0.9864383381564301,0.9493970261531868
8,4,4,0.46197784,0.458244,0.0357,0.50352,0.50352,0.0010,0.96549784,0.961764,0.9981521263551435,0.9637137219872982
9,4,4,0.53775832,0.533412,0.0424,0.41934,0.41934,0.0099,0.95709832,0.952752,0.9849225887420456,0.9426677550150627
10,4,4,0.53574404,0.531414,0.0392,0.42396,0.42396,0.0030,0.95970404,0.955374,0.9866145653077446,0.9468579842486863
1,5,5,0.52060972,0.516402,0.0448,0.4446,0.4446,0.0023,0.96520972,0.961002,0.9938367477500342,0.9592608890215212
2,5,5,0.47493456,0.471096,0.0508,0.48948,0.48948,0.0071,0.96441456,0.960576,0.9997725806408484,0.9641952334588083
3,5,5,0.47373688,0.469908,0.0492,0.49224,0.49224,0.0030,0.96597688,0.962148,0.9996332271751507,0.9656225859309833
4,5,5,0.48375384,0.479844,0.0629,0.47466,0.47466,0.0153,0.95841384,0.954504,0.9999099778529634,0.9583275615283736
5,5,5,0.45255972,0.448902,0.0501,0.51432,0.51432,0.0035,0.96687972,0.963222,0.9959364534510884,0.9629507592505814
6,5,5,0.44733348,0.443718,0.0558,0.5181,0.5181,0.0040,0.96543348,0.961818,0.994655786727478,0.9602739975824469
7,5,5,0.4847882,0.48087,0.0553,0.47754,0.47754,0.0086,0.9623282,0.95841,0.9999432730707685,0.9622736100763011
8,5,5,0.4739002,0.47007,0.0529,0.48996,0.48996,0.0075,0.9638602,0.96003,0.9997224561443232,0.9635926865237585
9,5,5,0.54107916,0.536706,0.0487,0.4206,0.4206,0.0074,0.96167916,0.957306,0.9845474518791024,0.9468187665032356
10,5,5,0.54352896,0.539136,0.0515,0.41772,0.41772,0.0046,0.96124896,0.956856,0.9831587231361678,0.9450603001295693
1,6,6,0.4485856,0.44496,0.0585,0.51648,0.51648,0.0065,0.9650656,0.96144,0.995074956903424,0.960312610328977
2,6,6,0.53726836,0.532926,0.0636,0.4212,0.4212,0.0089,0.95846836,0.954126,0.9855472797059595,0.9446158848822322
3,6,6,0.49208316,0.488106,0.0586,0.47052,0.47052,0.0077,0.96260316,0.958626,0.9994984521527838,0.9621203684573785
4,6,6,0.47901756,0.475146,0.0639,0.48354,0.48354,0.0048,0.96255756,0.958686,0.9999779259195015,0.9625363124269362
5,6,6,0.4474968,0.44388,0.0769,0.50892,0.50892,0.0204,0.9564168,0.9528,0.9958924493806303,0.9524882695807844
6,6,6,0.49202872,0.488052,0.0621,0.46884,0.46884,0.0109,0.96086872,0.956892,0.9994179335332597,0.9603094305391483
7,6,6,0.43557444,0.432054,0.0587,0.53112,0.53112,0.0032,0.96669444,0.963174,0.9903256762228942,0.9573423249939121
8,6,6,0.48783684,0.483894,0.0689,0.47034,0.47034,0.0136,0.95817684,0.954234,0.9996666633152789,0.9578574445087779
9,6,6,0.49219204,0.488214,0.0664,0.46542,0.46542,0.0188,0.95761204,0.953634,0.9992190118874912,0.9568641563803647
10,6,6,0.499487,0.49545,0.0571,0.46308,0.46308,0.0069,0.962567,0.95853,0.9985714777549781,0.961191951628176
1,7,7,0.37906572,0.376002,0.0842,0.5835,0.5835,0.0127,0.96256572,0.959502,0.9568395676767655,0.9210209673852745
2,7,7,0.53688728,0.532548,0.0740,0.4206,0.4206,0.0069,0.95748728,0.953148,0.9854641897313723,0.9435694265632957
3,7,7,0.51783328,0.513648,0.0714,0.44148,0.44148,0.0074,0.95931328,0.955128,0.993705054385822,0.9532744550754414
4,7,7,0.46475428,0.460998,0.0786,0.49548,0.49548,0.0078,0.96023428,0.956478,0.9989771656928669,0.9592521194355307
