simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
1,1,1,0.46557088,0.461808,0.0000,0.45336,0.45336,0.0000,0.91893088,0.915168,0.9998234565715822,0.9187686487919658
2,1,1,0.46508092,0.461322,0.0000,0.45384,0.45384,0.0000,0.91892092,0.915162,0.9998503824793462,0.9187834333302727
3,1,1,0.4630122,0.45927,0.0000,0.456,0.456,0.0000,0.9190122,0.91527,0.9999417842158249,0.9189586989841104
4,1,1,0.45996356,0.456246,0.0000,0.4593,0.4593,0.0000,0.91926356,0.915546,0.9999994789491832,0.9192630810169712
5,1,1,0.46442764,0.460674,0.0000,0.45432,0.45432,0.0000,0.91874764,0.914994,0.999878980738991,0.9186364538395534
6,1,1,0.46170564,0.457974,0.0000,0.45678,0.45678,0.0000,0.91848564,0.914754,0.9999712413759543,0.9184592256167878
7,1,1,0.46317552,0.459432,0.0000,0.45612,0.45612,0.0000,0.91929552,0.915552,0.9999410990653775,0.9192413726346778
8,1,1,0.46426432,0.460512,0.0000,0.45492,0.45492,0.0000,0.91918432,0.915432,0.9998966655075375,0.9190893365548134
9,1,1,0.46557088,0.461808,0.0000,0.45312,0.45312,0.0000,0.91869088,0.914928,0.9998163539798751,0.918522166076163
10,1,1,0.46562532,0.461862,0.0000,0.4533,0.4533,0.0000,0.91892532,0.915162,0.9998201303674832,0.9187600332403812
1,2,2,0.46159676,0.457866,0.0150,0.48852,0.48852,0.0038,0.95011676,0.946386,0.999197671719575,0.9493544544537462
2,2,2,0.45925584,0.455544,0.0092,0.49356,0.49356,0.0000,0.95281584,0.949104,0.9987054671692932,0.9515823886135025
3,2,2,0.47112376,0.467316,0.0073,0.48132,0.48132,0.0002,0.95244376,0.948636,0.9998854086996088,0.9523346182309921
4,2,2,0.45098096,0.447336,0.0109,0.5022,0.5022,0.0001,0.95318096,0.949536,0.9971208787084984,0.95043663640341
5,2,2,0.45876588,0.455058,0.0088,0.49446,0.49446,0.0004,0.95322588,0.949518,0.9985997899859302,0.9518911635771535
6,2,2,0.46067128,0.456948,0.0084,0.49194,0.49194,0.0000,0.95261128,0.948888,0.9989237303394445,0.951586013381033
7,2,2,0.61832952,0.613332,0.0099,0.32082,0.32082,0.0004,0.93914952,0.934152,0.9087989059180865,0.8534980562694962
8,2,2,0.472267,0.46845,0.0126,0.47898,0.47898,0.0011,0.951247,0.94743,0.9999502004904155,0.9511996283659062
9,2,2,0.4502188,0.44658,0.0101,0.50298,0.50298,0.0000,0.9531988,0.94956,0.9969455445720037,0.9502872967513805
10,2,2,0.46987164,0.466074,0.0101,0.48216,0.48216,0.0000,0.95203164,0.948234,0.9998334238812523,0.9518730542644838
1,3,3,0.44929332,0.445662,0.0242,0.51282,0.51282,0.0001,0.96211332,0.958482,0.9956591920573707,0.9579369708588347
2,3,3,0.45288636,0.449226,0.0234,0.50898,0.50898,0.0001,0.96186636,0.958206,0.9966105964956878,0.9586062067887361
3,3,3,0.42049456,0.417096,0.0277,0.54054,0.54054,0.0075,0.96103456,0.957636,0.9846365316919591,0.9462697359945079
4,3,3,0.53498188,0.530658,0.0257,0.4206,0.4206,0.0013,0.95558188,0.951258,0.9858746137360663,0.942083916838184
5,3,3,0.43230804,0.428814,0.0231,0.531,0.531,0.0010,0.96330804,0.959814,0.9896128002790959,0.9533019669957674
6,3,3,0.53999036,0.535626,0.0193,0.41706,0.41706,0.0001,0.95705036,0.952686,0.9837691257261612,0.9415165959331078
7,3,3,0.46170564,0.457974,0.0219,0.49944,0.49944,0.0022,0.96114564,0.957414,0.9984610422365662,0.9596664774555315
8,3,3,0.52823132,0.523962,0.0170,0.43098,0.43098,0.0000,0.95921132,0.954942,0.9898253149345501,0.9494516469077855
9,3,3,0.44003852,0.436482,0.0234,0.52146,0.52146,0.0039,0.96149852,0.957942,0.9928800404759833,0.9546526894551981
10,3,3,0.46214116,0.458406,0.0190,0.5001,0.5001,0.0014,0.96224116,0.958506,0.9984462444527814,0.960746072459888
1,4,4,0.51810548,0.513918,0.0341,0.44418,0.44418,0.0030,0.96228548,0.958098,0.9941328812396326,0.9566396368074629
2,4,4,0.4009506,0.39771,0.0340,0.56832,0.56832,0.0015,0.9692706,0.96603,0.9710464355413858,0.9412067612050603
3,4,4,0.53585292,0.531522,0.0313,0.42696,0.42696,0.0011,0.96281292,0.958482,0.9873702284041613,0.9506528127308774
4,4,4,0.4594736,0.45576,0.0472,0.5007,0.5007,0.0098,0.9601736,0.95646,0.9981598577206647,0.9584067439631384
5,4,4,0.46116124,0.457434,0.0405,0.50052,0.50052,0.0108,0.96168124,0.957954,0.9983277789637179,0.9600730964002742
6,4,4,0.46633304,0.462564,0.0354,0.49836,0.49836,0.0026,0.96469304,0.960924,0.9988990318978467,0.9636309437345907
7,4,4,0.540317,0.53595,0.0338,0.42126,0.42126,0.0017,0.961577,0.95721,0.9849014749425501,0.9470586055708325
8,4,4,0.46078016,0.457056,0.0343,0.50532,0.50532,0.0004,0.96610016,0.962376,0.9978790477017855,0.9640511076453425
9,4,4,0.5378672,0.53352,0.0392,0.42,0.42,0.0109,0.9578672,0.95352,0.9850841278934671,0.9435797753497572
10,4,4,0.53764944,0.533304,0.0343,0.42354,0.42354,0.0024,0.96118944,0.956844,0.9861021672893325,0.9478309899596198
1,5,5,0.52050084,0.516294,0.0493,0.44352,0.44352,0.0023,0.96402084,0.959814,0.9936637559616578,0.9579125686997123
2,5,5,0.47515232,0.471312,0.0556,0.48822,0.48822,0.0071,0.96337232,0.959532,0.9998160377328684,0.9631950958439209
3,5,5,0.46812956,0.464346,0.0562,0.49638,0.49638,0.0033,0.96450956,0.960726,0.9991428339977342,0.9636828151963076
4,5,5,0.48712912,0.483192,0.0590,0.47268,0.47268,0.0141,0.95980912,0.955872,0.9997734236171288,0.9595916499213436
5,5,5,0.44510144,0.441504,0.0571,0.52026,0.52026,0.0037,0.96536144,0.961764,0.9939750632064653,0.9595451983410844
6,5,5,0.45098096,0.447336,0.0566,0.5145,0.5145,0.0029,0.96548096,0.961836,0.9956903231135036,0.9613200490223357
7,5,5,0.48495152,0.481032,0.0565,0.47748,0.47748,0.0077,0.96243152,0.958512,0.9999397368154053,0.9623735208116504
8,5,5,0.4793442,0.47547,0.0532,0.48438,0.48438,0.0071,0.9637242,0.95985,0.9999726964222014,0.963697886881329
9,5,5,0.54227684,0.537894,0.0544,0.41802,0.41802,0.0060,0.96029684,0.955914,0.9835328485651271,0.9444834865132902
10,5,5,0.54581544,0.541404,0.0558,0.41442,0.41442,0.0036,0.96023544,0.955824,0.9816198746627938,0.9425861922595726
1,6,6,0.4485856,0.44496,0.0585,0.51648,0.51648,0.0065,0.9650656,0.96144,0.995074956903424,0.960312610328977
2,6,6,0.53726836,0.532926,0.0636,0.4212,0.4212,0.0089,0.95846836,0.954126,0.9855472797059595,0.9446158848822322
3,6,6,0.49208316,0.488106,0.0586,0.47052,0.47052,0.0077,0.96260316,0.958626,0.9994984521527838,0.9621203684573785
4,6,6,0.47901756,0.475146,0.0639,0.48354,0.48354,0.0048,0.96255756,0.958686,0.9999779259195015,0.9625363124269362
5,6,6,0.4474968,0.44388,0.0769,0.50892,0.50892,0.0204,0.9564168,0.9528,0.9958924493806303,0.9524882695807844
6,6,6,0.49202872,0.488052,0.0621,0.46884,0.46884,0.0109,0.96086872,0.956892,0.9994179335332597,0.9603094305391483
7,6,6,0.43557444,0.432054,0.0587,0.53112,0.53112,0.0032,0.96669444,0.963174,0.9903256762228942,0.9573423249939121
8,6,6,0.48783684,0.483894,0.0689,0.47034,0.47034,0.0136,0.95817684,0.954234,0.9996666633152789,0.9578574445087779
9,6,6,0.49219204,0.488214,0.0664,0.46542,0.46542,0.0188,0.95761204,0.953634,0.9992190118874912,0.9568641563803647
10,6,6,0.499487,0.49545,0.0571,0.46308,0.46308,0.0069,0.962567,0.95853,0.9985714777549781,0.961191951628176
1,7,7,0.37906572,0.376002,0.0842,0.5835,0.5835,0.0127,0.96256572,0.959502,0.9568395676767655,0.9210209673852745
2,7,7,0.53688728,0.532548,0.0740,0.4206,0.4206,0.0069,0.95748728,0.953148,0.9854641897313723,0.9435694265632957
3,7,7,0.51783328,0.513648,0.0714,0.44148,0.44148,0.0074,0.95931328,0.955128,0.993705054385822,0.9532744550754414
4,7,7,0.46475428,0.460998,0.0786,0.49548,0.49548,0.0078,0.96023428,0.956478,0.9989771656928669,0.9592521194355307
5,7,7,0.42207332,0.418662,0.0795,0.54078,0.54078,0.0064,0.96285332,0.959442,0.9850280403971329,0.9484375189894735
6,7,7,0.46078016,0.457056,0.0817,0.49908,0.49908,0.0066,0.95986016,0.956136,0.9984104028172636,0.958334368993843
7,7,7,0.559371,0.55485,0.0660,0.39978,0.39978,0.0063,0.959151,0.95463,0.9730609142638295,0.9333123489770663
8,7,7,0.57423312,0.569592,0.0680,0.38376,0.38376,0.0048,0.95799312,0.953352,0.961971868832549,0.9215624319751244
9,7,7,0.46274,0.459,0.0701,0.50094,0.50094,0.0039,0.96368,0.95994,0.9984311581721476,0.9621681385073352
10,7,7,0.48337276,0.479466,0.0679,0.4803,0.4803,0.0019,0.96367276,0.959766,0.9999898329794845,0.9636629623192788
1,8,8,0.42386984,0.420444,0.0846,0.53694,0.53694,0.0121,0.96080984,0.957384,0.9863400907262826,0.9476852647563051
2,8,8,0.48212064,0.478224,0.0758,0.48078,0.48078,0.0017,0.96290064,0.959004,0.9999980615234416,0.9628987734396813
3,8,8,0.52774136,0.523476,0.0837,0.42924,0.42924,0.0032,0.95698136,0.952716,0.9895166376535233,0.9469489776442959
4,8,8,0.42604744,0.422604,0.0783,0.5397,0.5397,0.0001,0.96574744,0.962304,0.9863397747527067,0.9525551124376032
5,8,8,0.40372704,0.400464,0.0725,0.56412,0.56412,0.0027,0.96784704,0.964584,0.9732705073575537,0.9419769796653066
6,8,8,0.46665968,0.462888,0.0792,0.49578,0.49578,0.0025,0.96243968,0.958668,0.9990853649431022,0.9615593989285225
7,8,8,0.60825812,0.603342,0.0766,0.34578,0.34578,0.0066,0.95403812,0.949122,0.9296334136699512,0.8869057142668626
8,8,8,0.53166104,0.527364,0.0797,0.42612,0.42612,0.0046,0.95778104,0.953484,0.988003112663202,0.9462906487697987
9,8,8,0.49573064,0.491724,0.0820,0.46296,0.46296,0.0069,0.95869064,0.954684,0.9988329063305437,0.957571758223089
10,8,8,0.49605728,0.492048,0.0821,0.3867,0.3867,0.2875,0.88275728,0.878748,0.9848853374496136,0.869414701598903
