simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
1,1,1,0.91197888,0.904608,0.0010,0.06792,0.06792,0.0139,0.97989888,0.972528,0.5740646031737854,0.5625252616976367
2,1,1,0.9088758,0.90153,0.0013,0.07068,0.07068,0.0183,0.9795558,0.97221,0.5772989270788816,0.5654965123538955
3,1,1,0.90985572,0.902502,0.0010,0.06996,0.06996,0.0144,0.97981572,0.972462,0.5764393813983208,0.5648043675211503
4,1,1,0.91001904,0.902664,0.0007,0.07008,0.07008,0.0102,0.98009904,0.972744,0.5765553703810393,0.5650813650173011
5,1,1,0.9137754,0.90639,0.0014,0.0657,0.0657,0.0206,0.9794754,0.97209,0.5715297304286348,0.5597993113234792
6,1,1,0.91116228,0.903798,0.0013,0.0684,0.0684,0.0189,0.97956228,0.972198,0.5746482857203719,0.5629037849583389
7,1,1,0.9096924,0.90234,0.0018,0.06936,0.06936,0.0253,0.9790524,0.9717,0.5758048700482634,0.5637431399524404
8,1,1,0.91333988,0.905958,0.0013,0.0663,0.0663,0.0187,0.97963988,0.972258,0.5722102151286736,0.560559946483428
9,1,1,0.91176112,0.904392,0.0016,0.06762,0.06762,0.0225,0.97938112,0.972012,0.5737584672527694,0.5619282102675006
10,1,1,0.91230552,0.904932,0.0015,0.06702,0.06702,0.0219,0.97932552,0.971952,0.5730679067168253,0.5612200257407663
1,2,2,0.84714084,0.840294,0.1139,0.08298,0.08298,0.0178,0.93012084,0.923274,0.5970221086229834,0.5553027051709806
2,2,2,0.85312924,0.846234,0.1105,0.0786,0.0786,0.0173,0.93172924,0.924834,0.5913559628548436,0.5509836418402116
3,2,2,0.8568856,0.84996,0.1109,0.07476,0.07476,0.0080,0.9316456,0.92472,0.5865870934617037,0.546491284640385
4,2,2,0.84986284,0.842994,0.1111,0.08172,0.08172,0.0194,0.93158284,0.924714,0.5952757626270024,0.5545486855312288
5,2,2,0.8500806,0.84321,0.1102,0.08058,0.08058,0.0475,0.9306606,0.92379,0.5939468674233638,0.5527629480043481
6,2,2,0.8473586,0.84051,0.1168,0.08148,0.08148,0.0116,0.9288386,0.92199,0.5952766803003545,0.5529159583428288
7,2,2,0.88143804,0.874314,0.1095,0.04902,0.04902,0.0216,0.93045804,0.923334,0.5554421891179738,0.5168156506200192
8,2,2,0.87463304,0.867564,0.1070,0.05748,0.05748,0.0254,0.93211304,0.925044,0.5654363712411541,0.5270506149241607
9,2,2,0.83968256,0.832896,0.1073,0.09468,0.09468,0.0156,0.93436256,0.927576,0.6113412907910883,0.5712144134972656
10,2,2,0.85672228,0.849798,0.1095,0.075,0.075,0.0257,0.93172228,0.924798,0.5868771485979961,0.5468065149716238
1,3,3,0.79950584,0.793044,0.1921,0.0927,0.0927,0.0338,0.89220584,0.885744,0.6144085552299641,0.5481789011221365
2,3,3,0.80505872,0.798552,0.1817,0.0936,0.0936,0.0127,0.89865872,0.892152,0.6147141616903417,0.5524182417105155
3,3,3,0.79248308,0.786078,0.1897,0.10182,0.10182,0.0347,0.89430308,0.887898,0.6263957372942609,0.5601876371611284
4,3,3,0.82514708,0.818478,0.1863,0.06822,0.06822,0.0265,0.89336708,0.886698,0.5821148857784456,0.5200422757324235
5,3,3,0.79825372,0.791802,0.1868,0.09774,0.09774,0.0181,0.89599372,0.889542,0.6206337190997686,0.5560839147336367
6,3,3,0.82411272,0.817452,0.1844,0.07014,0.07014,0.0347,0.89425272,0.887592,0.5844976440152121,0.5226886079941951
7,3,3,0.80968612,0.803142,0.1944,0.07878,0.07878,0.0574,0.88846612,0.881922,0.5963845192109394,0.5298674398114088
8,3,3,0.81534788,0.808758,0.1927,0.07542,0.07542,0.0157,0.89076788,0.884178,0.5917156451487184,0.5270812907919562
9,3,3,0.80369772,0.797202,0.1884,0.09006,0.09006,0.0329,0.89375772,0.887262,0.6106674285203169,0.5457887285925813
10,3,3,0.80141124,0.794934,0.1915,0.09036,0.09036,0.0468,0.89177124,0.885294,0.6113357115750633,0.5451716055675765
1,4,4,0.77952636,0.773226,0.2453,0.08442,0.08442,0.0276,0.86394636,0.857646,0.607041136941489,0.5244509806308609
2,4,4,0.75682488,0.750708,0.2413,0.11418,0.11418,0.0145,0.87100488,0.864888,0.6475096813174884,0.5639840922747772
3,4,4,0.7940074,0.78759,0.2387,0.072,0.072,0.0204,0.8660074,0.85959,0.5899397059494703,0.5108921509060653
4,4,4,0.78034296,0.774036,0.2425,0.08622,0.08622,0.0271,0.86656296,0.860256,0.6091572863540093,0.5278731411684979
5,4,4,0.78056072,0.774252,0.2423,0.0849,0.0849,0.0335,0.86546072,0.859152,0.6074962326786555,0.5257641269313567
6,4,4,0.78164952,0.775332,0.2445,0.08316,0.08316,0.0287,0.86480952,0.858492,0.6051996475294982,0.5233824166841545
7,4,4,0.80429656,0.797796,0.2423,0.05754,0.05754,0.0477,0.86183656,0.855336,0.5711764888039825,0.4922607802637028
8,4,4,0.76558972,0.759402,0.2451,0.10008,0.10008,0.0463,0.86566972,0.859482,0.6285264420611323,0.5440963091116566
9,4,4,0.80173788,0.795258,0.2447,0.05922,0.05922,0.0445,0.86095788,0.854478,0.5734637244652049,0.4937281124724669
10,4,4,0.79008772,0.783702,0.2471,0.07116,0.07116,0.0565,0.86124772,0.854862,0.5893412237778194,0.5075687852806567
1,5,5,0.74816892,0.742122,0.2912,0.09108,0.09108,0.0423,0.83924892,0.833202,0.6199594215587081,0.5203002749869704
2,5,5,0.73341568,0.727488,0.2862,0.11412,0.11412,0.0231,0.84753568,0.841608,0.6519224271636757,0.5525275176134163
3,5,5,0.74245272,0.736452,0.2936,0.09666,0.09666,0.0301,0.83911272,0.833112,0.6280202338843986,0.526979766669774
4,5,5,0.76303104,0.756864,0.2884,0.07602,0.07602,0.0416,0.83905104,0.832884,0.5986497833687106,0.5022977233312913
5,5,5,0.74163612,0.735642,0.2939,0.09846,0.09846,0.0301,0.84009612,0.834102,0.6304611006798372,0.5296479244920606
6,5,5,0.7382064,0.73224,0.2982,0.0978,0.0978,0.0600,0.8360064,0.83004,0.6301980603612558,0.5268496117295962
7,5,5,0.74903996,0.742986,0.2912,0.09096,0.09096,0.0387,0.83999996,0.833946,0.6196707116744303,0.520523373019693
8,5,5,0.72720952,0.721332,0.2993,0.10938,0.10938,0.0689,0.83658952,0.830712,0.647083062029298,0.5413429082632206
9,5,5,0.76194224,0.755784,0.2884,0.07848,0.07848,0.0318,0.84042224,0.834264,0.6019186795594132,0.5058658449731643
10,5,5,0.76847504,0.762264,0.2899,0.06852,0.06852,0.0427,0.83699504,0.830784,0.5884603259760612,0.49253837407874645
1,6,6,0.7033648,0.69768,0.3322,0.11682,0.11682,0.0502,0.8201848,0.8145,0.6616288234054889,0.5426579041990662
2,6,6,0.73145584,0.725544,0.3337,0.08316,0.08316,0.0539,0.81461584,0.808704,0.6122402940422282,0.49874064141305674
3,6,6,0.71245628,0.706698,0.3373,0.1026,0.1026,0.0495,0.81505628,0.809298,0.6410829808355113,0.5225187095311031
4,6,6,0.73091144,0.725004,0.3300,0.0858,0.0858,0.0422,0.81671144,0.810804,0.6157920828107858,0.5029244386929961
5,6,6,0.72263656,0.716796,0.3361,0.0909,0.0909,0.0519,0.81353656,0.807696,0.6238300151189662,0.5075085245246317
6,6,6,0.72933268,0.723438,0.3339,0.08364,0.08364,0.0731,0.81297268,0.807078,0.613191532578226,0.4985079635934277
7,6,6,0.72884272,0.722952,0.3322,0.08712,0.08712,0.0485,0.81596272,0.810072,0.617848160044992,0.504141065217307
8,6,6,0.71626708,0.710478,0.3367,0.09798,0.09798,0.0658,0.81424708,0.808458,0.6342798773692343,0.5164605380506572
9,6,6,0.72546744,0.719604,0.3372,0.0828,0.0828,0.1315,0.80826744,0.802404,0.6126656800807351,0.4951977208147147
10,6,6,0.74642684,0.740394,0.3322,0.06588,0.06588,0.0567,0.81230684,0.806274,0.5875782646258577,0.47729384339091424
1,7,7,0.66863208,0.663228,0.3713,0.13416,0.13416,0.0440,0.80279208,0.797388,0.6928830308088421,0.5562410094997344
2,7,7,0.72524968,0.719388,0.3678,0.0657,0.0657,0.0681,0.79094968,0.785088,0.5898521243749176,0.4665433490216613
3,7,7,0.72617516,0.720306,0.3637,0.06672,0.06672,0.0504,0.79289516,0.787026,0.5911095408199534,0.4686878939459635
4,7,7,0.71931572,0.713502,0.3665,0.07488,0.07488,0.0437,0.79419572,0.788382,0.6029829506472141,0.4788864786369887
5,7,7,0.69008144,0.684504,0.3714,0.10722,0.10722,0.0439,0.79730144,0.791724,0.6517105578924686,0.5196097662708685
6,7,7,0.713164,0.7074,0.3697,0.07782,0.07782,0.0615,0.790984,0.78522,0.6078353616243619,0.4807880456790843
7,7,7,0.71681148,0.711018,0.3725,0.0717,0.0717,0.0448,0.78851148,0.782718,0.59903542456544,0.4723463091965235
8,7,7,0.73009484,0.724194,0.3640,0.06252,0.06252,0.0604,0.79261484,0.786714,0.585009340218211,0.46368708459556296
9,7,7,0.69579764,0.690174,0.3726,0.09864,0.09864,0.0530,0.79443764,0.788814,0.6389723702488251,0.5076237018456828
10,7,7,0.70216712,0.696492,0.3709,0.09036,0.09036,0.0732,0.79252712,0.786852,0.6265909137954999,0.4965902923285158
1,8,8,0.68343976,0.677916,0.4077,0.08766,0.08766,0.0388,0.77109976,0.765576,0.6261869995049628,0.482852645033397
2,8,8,0.68316756,0.677646,0.4024,0.09018,0.09018,0.0511,0.77334756,0.767826,0.6297420353452676,0.4870094664636965
3,8,8,0.70510688,0.699408,0.3973,0.06678,0.06678,0.0824,0.77188688,0.766188,0.5938670768688546,0.4583982050990204
4,8,8,0.67952008,0.674028,0.4013,0.09876,0.09876,0.0369,0.77828008,0.772788,0.642331388863819,0.4999137247114442
5,8,8,0.65121128,0.645948,0.4086,0.12702,0.12702,0.0574,0.77823128,0.772968,0.687903084949116,0.5353476983158992
6,8,8,0.70559684,0.699894,0.3971,0.06792,0.06792,0.0350,0.77351684,0.767814,0.595375208557463,0.4605327499377097
7,8,8,0.72301764,0.717174,0.3979,0.04446,0.04446,0.0749,0.76747764,0.761634,0.5612606308032526,0.4307549843537916
8,8,8,0.70630456,0.700596,0.3967,0.06612,0.06612,0.0565,0.77242456,0.766716,0.5928007400431685,0.45789385079551886
9,8,8,0.6712452,0.66582,0.4082,0.10308,0.10308,0.0397,0.7743252,0.7689,0.6500273516863765,0.5033325591000238
10,8,8,0.69536212,0.689742,0.4029,0.06012,0.06012,0.3682,0.75548212,0.749862,0.585817059660605,0.4425743141645604
