simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
1,1,1,0.96364244,0.955854,0.0008,0.01572,0.01572,0.0260,0.97936244,0.971574,0.5163087646364845,0.5056534115277731
2,1,1,0.96315248,0.955368,0.0005,0.01644,0.01644,0.0162,0.97959248,0.971808,0.5170639768456275,0.5065119833968709
3,1,1,0.96260808,0.954828,0.0003,0.0171,0.0171,0.0104,0.97970808,0.971928,0.5177586349434473,0.5072523181438656
4,1,1,0.96337024,0.955584,0.0008,0.01584,0.01584,0.0276,0.97921024,0.971424,0.51643783270467,0.5057012141078198
5,1,1,0.96369688,0.955908,0.0006,0.01584,0.01584,0.0204,0.97953688,0.971748,0.516432264197698,0.5058644488035489
6,1,1,0.96342468,0.955638,0.0009,0.01581,0.01581,0.0295,0.97923468,0.971448,0.5164057906354561,0.5056824591430579
7,1,1,0.96418684,0.956394,0.0005,0.01548,0.01548,0.0153,0.97966684,0.971874,0.5160508422483611,0.5055578979047904
8,1,1,0.9641324,0.95634,0.0007,0.01536,0.01536,0.0229,0.9794924,0.9717,0.5159273793355775,0.5053469470111153
9,1,1,0.96342468,0.955638,0.0008,0.01602,0.01602,0.0255,0.97944468,0.971658,0.5166235846812538,0.5060042215785835
10,1,1,0.96298916,0.955206,0.0008,0.01629,0.01629,0.0269,0.97927916,0.971496,0.516911239052443,0.5062004039738356
1,2,2,0.91099896,0.903636,0.1118,0.01626,0.01626,0.0128,0.92725896,0.919896,0.5178428542839946,0.4801744265068083
2,2,2,0.90947464,0.902124,0.1130,0.01695,0.01695,0.0275,0.92642464,0.919074,0.5186306619664751,0.48047222430525344
3,2,2,0.91143448,0.904068,0.1128,0.01518,0.01518,0.0175,0.92661448,0.919248,0.5166504457563744,0.4787357841363111
4,2,2,0.91225108,0.904878,0.1125,0.01434,0.01434,0.0225,0.92659108,0.919218,0.5157154732966505,0.4778573573746545
5,2,2,0.91519084,0.907794,0.1066,0.01485,0.01485,0.0159,0.93004084,0.922644,0.516221852936951,0.48010740573183835
6,2,2,0.91034568,0.902988,0.1118,0.01683,0.01683,0.0226,0.92717568,0.919818,0.5184811660663882,0.48072312771479636
7,2,2,0.91573524,0.908334,0.1098,0.01242,0.01242,0.0236,0.92815524,0.920754,0.5135603777163198,0.4766637556337815
8,2,2,0.91143448,0.904068,0.1113,0.0159,0.0159,0.0346,0.92733448,0.919968,0.5174397205611889,0.4798396941979554
9,2,2,0.91170668,0.904338,0.1154,0.01338,0.01338,0.0262,0.92508668,0.917718,0.5146726125323831,0.47611677841450867
10,2,2,0.91284992,0.905472,0.1095,0.01545,0.01545,0.0283,0.92829992,0.920922,0.5169201696587323,0.4798569521405876
1,3,3,0.8715844,0.86454,0.1887,0.01506,0.01506,0.0383,0.8866444,0.8796,0.517273720174857,0.45863784726020396
2,3,3,0.87713728,0.870048,0.1808,0.01434,0.01434,0.0265,0.89147728,0.884388,0.5163442696883878,0.46030918508539037
3,3,3,0.87392532,0.866862,0.1868,0.01359,0.01359,0.0403,0.88751532,0.880452,0.5155467683159027,0.4575556550568543
4,3,3,0.87632068,0.869238,0.1857,0.01176,0.01176,0.0224,0.88808068,0.880998,0.5134173286064418,0.4559560103125923
5,3,3,0.87387088,0.866808,0.1857,0.01461,0.01461,0.0279,0.88848088,0.881418,0.5167140452370742,0.45909054962059553
6,3,3,0.8748508,0.86778,0.1841,0.01425,0.01425,0.0346,0.8891008,0.88203,0.5162841712719596,0.4590286697052363
7,3,3,0.87250988,0.865458,0.1873,0.01488,0.01488,0.0406,0.88738988,0.880338,0.5170492894010049,0.458824306875643
8,3,3,0.8770284,0.86994,0.1837,0.01194,0.01194,0.0386,0.8889684,0.88188,0.5136116314915542,0.45658451026843655
9,3,3,0.87065892,0.863622,0.1890,0.0159,0.0159,0.0311,0.88655892,0.879522,0.5182559423956119,0.4594644285738359
10,3,3,0.87419752,0.867132,0.1858,0.01404,0.01404,0.0230,0.88823752,0.881172,0.5160563021117411,0.4583805699681037
1,4,4,0.83821268,0.831438,0.2519,0.01167,0.01167,0.0371,0.84988268,0.843108,0.5139197827195917,0.4367715222427443
2,4,4,0.8440922,0.83727,0.2421,0.01275,0.01275,0.0341,0.8568422,0.85002,0.5151015394009048,0.4413607362436579
3,4,4,0.84458216,0.837756,0.2411,0.01245,0.01245,0.0281,0.85703216,0.850206,0.5147378145340316,0.4411468610237805
4,4,4,0.84621536,0.839376,0.2374,0.01359,0.01359,0.0279,0.85980536,0.852966,0.5160556005918604,0.4437073714469007
5,4,4,0.83897484,0.832194,0.2499,0.01338,0.01338,0.0283,0.85235484,0.845574,0.5159439796771212,0.4397673482466559
