simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
1,1,1,0.96347912,0.955692,0.0008,0.01587,0.01587,0.0258,0.97934912,0.971562,0.5164670879884741,0.5058015881304746
2,1,1,0.96315248,0.955368,0.0005,0.01644,0.01644,0.0162,0.97959248,0.971808,0.5170639768456275,0.5065119833968709
3,1,1,0.96260808,0.954828,0.0004,0.01707,0.01707,0.0122,0.97967808,0.971898,0.5177274990490351,0.5072062822315606
4,1,1,0.96364244,0.955854,0.0008,0.01557,0.01557,0.0281,0.97921244,0.971424,0.5161532282755986,0.5054236620736259
5,1,1,0.96369688,0.955908,0.0007,0.01575,0.01575,0.0223,0.97944688,0.971658,0.5163389490657408,0.5057265726849188
6,1,1,0.96347912,0.955692,0.0007,0.0159,0.0159,0.0239,0.97937912,0.971592,0.5164981997647188,0.5058475523671545
7,1,1,0.963588,0.9558,0.0006,0.01593,0.01593,0.0203,0.979518,0.97173,0.5165274447469401,0.5059479296236333
8,1,1,0.96418684,0.956394,0.0006,0.01542,0.01542,0.0191,0.97960684,0.971814,0.5159886615592458,0.5054660222258822
9,1,1,0.96391464,0.956124,0.0006,0.01572,0.01572,0.0206,0.97963464,0.971844,0.5163041616514714,0.505789441529941
10,1,1,0.96217256,0.954396,0.0008,0.01719,0.01719,0.0239,0.97936256,0.971586,0.5178601174391778,0.5071728103371338
1,2,2,0.918675,0.91125,0.1139,0.00432,0.00432,0.5569,0.922995,0.91557,0.5047023207062619,0.46583771850027617
2,2,2,0.92041708,0.912978,0.1113,0.00384,0.00384,0.6000,0.92425708,0.916818,0.5041719490505614,0.46598449344738063
3,2,2,0.92063484,0.913194,0.1101,0.00477,0.00477,0.5047,0.92540484,0.917964,0.5051810682650448,0.4674970056488429
4,2,2,0.91780396,0.910386,0.1143,0.00507,0.00507,0.5029,0.92287396,0.915456,0.5055238869232082,0.4665348313994133
5,2,2,0.92215916,0.914706,0.1088,0.00408,0.00408,0.5278,0.92623916,0.918786,0.5044243123218723,0.46721755132858866
6,2,2,0.92090704,0.913464,0.1115,0.00357,0.00357,0.5868,0.92447704,0.917034,0.5038765545221525,0.4658223056500382
7,2,2,0.9222136,0.91476,0.1080,0.00423,0.00423,0.5481,0.9264436,0.91899,0.5045866933738773,0.467471112721391
8,2,2,0.92036264,0.912924,0.1124,0.00372,0.00372,0.5724,0.92408264,0.916644,0.5040418190246915,0.4657762947947391
9,2,2,0.9184028,0.91098,0.1137,0.0048,0.0048,0.5224,0.9232028,0.91578,0.505226322140015,0.4664263552333638
10,2,2,0.92096148,0.913518,0.1105,0.00405,0.00405,0.5574,0.92501148,0.917568,0.5043974930198044,0.46657347152653894
1,3,3,0.88089364,0.873774,0.1899,0.00198,0.00198,0.7295,0.88287364,0.875754,0.5022477060870003,0.4434212604546801
2,3,3,0.88416004,0.877014,0.1835,0.00288,0.00288,0.6484,0.88704004,0.879894,0.5032572942823491,0.4464093704505067
3,3,3,0.88611988,0.878958,0.1812,0.00204,0.00204,0.7094,0.88815988,0.880998,0.5023021593738193,0.4461246255931922
4,3,3,0.88590212,0.878742,0.1817,0.00231,0.00231,0.6792,0.88821212,0.881052,0.5026074938099797,0.446422067604849
5,3,3,0.88508552,0.877932,0.1833,0.00183,0.00183,0.7325,0.88691552,0.879762,0.5020675879737169,0.4452915358628548
6,3,3,0.881928,0.8748,0.1876,0.00222,0.00222,0.7028,0.884148,0.87702,0.5025171963395821,0.4442995741092489
7,3,3,0.88693648,0.879768,0.1798,0.00213,0.00213,0.6900,0.88906648,0.881898,0.5024015110029929,0.4466683429341122
8,3,3,0.8870998,0.87993,0.1791,0.00258,0.00258,0.6490,0.8896798,0.88251,0.5029083291160696,0.447427381666319
9,3,3,0.8822002,0.87507,0.1884,0.00225,0.00225,0.6781,0.8844502,0.87732,0.5025504249085453,0.44448082382044785
10,3,3,0.8843778,0.87723,0.1833,0.00246,0.00246,0.6626,0.8868378,0.87969,0.5027815951125923,0.4458857236901422
1,4,4,0.84948176,0.842616,0.2471,0.0018,0.0018,0.7129,0.85128176,0.844416,0.502118929449659,0.42744468599122154
2,4,4,0.85291148,0.846018,0.2423,0.00147,0.00147,0.7586,0.85438148,0.847488,0.5017235031628442,0.42866326918305553
3,4,4,0.84920956,0.842346,0.2478,0.00129,0.00129,0.8018,0.85049956,0.843636,0.501519056171809,0.4265417366057389
4,4,4,0.85590568,0.848988,0.2373,0.00153,0.00153,0.7500,0.85743568,0.850518,0.5017875744334215,0.4302505700998714
5,4,4,0.8525304,0.84564,0.2420,0.00156,0.00156,0.7636,0.8540904,0.8472,0.5018298406445194,0.42860804932801383
6,4,4,0.85155048,0.844668,0.2417,0.00183,0.00183,0.7393,0.85338048,0.846498,0.5021490112348534,0.42852416423912465
7,4,4,0.8528026,0.84591,0.2422,0.00087,0.00087,0.8457,0.8536726,0.84678,0.501020164683549,0.42770718663783347
8,4,4,0.85345588,0.846558,0.2406,0.00147,0.00147,0.7621,0.85492588,0.848028,0.5017224037860929,0.4289354675725408
9,4,4,0.84986284,0.842994,0.2466,0.00138,0.00138,0.7799,0.85124284,0.844374,0.5016237871529545,0.4270036571876365
10,4,4,0.8525304,0.84564,0.2418,0.00168,0.00168,0.7489,0.8542104,0.84732,0.5019705965630238,0.4287885040783392
1,5,5,0.82400384,0.817344,0.2914,0.00117,0.00117,0.8098,0.82517384,0.818514,0.501419893432974,0.41375857891647794
2,5,5,0.824766,0.8181,0.2912,0.00114,0.00114,0.8100,0.825906,0.81924,0.5013822075861861,0.4140945735386766
3,5,5,0.82623588,0.819558,0.2859,0.0009,0.0009,0.8585,0.82713588,0.820458,0.5010892760214296,0.4144689192805481
4,5,5,0.82574592,0.819072,0.2885,0.00105,0.00105,0.8241,0.82679592,0.820122,0.5012715755256142,0.4144492934565497
5,5,5,0.82389496,0.817236,0.2912,0.00117,0.00117,0.7914,0.82506496,0.818406,0.5014200810750654,0.4137041391353956
6,5,5,0.82155404,0.814914,0.2946,0.00132,0.00132,0.7864,0.82287404,0.816234,0.5016067069579521,0.4127591374455861
7,5,5,0.82117296,0.814536,0.2942,0.00105,0.00105,0.8148,0.82222296,0.815586,0.5012786566709236,0.41216282087279055
8,5,5,0.82416716,0.817506,0.2912,0.00096,0.00096,0.8359,0.82512716,0.818466,0.5011648106647268,0.41352469691572374
9,5,5,0.82590924,0.819234,0.2881,0.00129,0.00129,0.7571,0.82719924,0.820524,0.5015619111525518,0.41489163171833837
10,5,5,0.82171736,0.815076,0.2944,0.00123,0.00123,0.7929,0.82294736,0.816306,0.5014968616995777,0.41270551838395264
1,6,6,0.7972738,0.79083,0.3337,0.00087,0.00087,0.8432,0.7981438,0.7917,0.501091217300809,0.3999428483230934
2,6,6,0.80103016,0.794556,0.3296,0.00075,0.00075,0.8555,0.80178016,0.795306,0.5009362935129873,0.4016407815626499
3,6,6,0.79994136,0.793476,0.3307,0.00072,0.00072,0.8710,0.80066136,0.794196,0.5009000652456761,0.40105132746369176
4,6,6,0.79994136,0.793476,0.3306,0.00093,0.00093,0.8377,0.80087136,0.794406,0.5011625836461433,0.40136675994580057
5,6,6,0.79858036,0.792126,0.3327,0.0009,0.0009,0.8446,0.79948036,0.793026,0.5011269984862708,0.40064119315552327
6,6,6,0.7994514,0.79299,0.3316,0.00102,0.00102,0.8182,0.8004714,0.79401,0.5012758728542956,0.40125699972990003
7,6,6,0.79732824,0.790884,0.3343,0.00069,0.00069,0.8701,0.79801824,0.791574,0.5008653894953718,0.39969971660201115
8,6,6,0.79585836,0.789426,0.3365,0.00096,0.00096,0.8400,0.79681836,0.790386,0.5012062430344724,0.3993703365964897
9,6,6,0.79716492,0.790722,0.3359,0.00108,0.00108,0.8209,0.79824492,0.791802,0.5013547987255615,0.400203921200302
10,6,6,0.800268,0.7938,0.3312,0.00087,0.00087,0.8612,0.801138,0.79467,0.5010871345246584,0.4014399447788158
1,7,7,0.7760422,0.76977,0.3684,0.00057,0.00057,0.8889,0.7766122,0.77034,0.5007344957432649,0.3888765183550676
2,7,7,0.78083292,0.774522,0.3619,0.00081,0.00081,0.8548,0.78164292,0.775332,0.5010373526878932,0.39163229938403465
3,7,7,0.77729432,0.771012,0.3650,0.00087,0.00087,0.8466,0.77816432,0.771882,0.5011192657500715,0.38995313267130366
4,7,7,0.78001632,0.773712,0.3617,0.00093,0.00093,0.8229,0.78094632,0.774642,0.501192281051211,0.391404267499349
5,7,7,0.7735924,0.76734,0.3719,0.00048,0.00048,0.9059,0.7740724,0.76782,0.5006204815548876,0.38751649764634755
6,7,7,0.77892752,0.772632,0.3648,0.00114,0.00114,0.7912,0.78006752,0.773772,0.5014635476714792,0.39117542600249255
7,7,7,0.77625996,0.769986,0.3677,0.00075,0.00075,0.8698,0.77700996,0.770736,0.500966170276109,0.3892557039275927
8,7,7,0.77762096,0.771336,0.3659,0.00099,0.00099,0.8342,0.77861096,0.772326,0.5012731117682218,0.39029673877604243
9,7,7,0.77533448,0.769068,0.3708,0.00114,0.00114,0.8041,0.77647448,0.770208,0.5014703299864369,0.389378913711647
10,7,7,0.77827424,0.771984,0.3650,0.00057,0.00057,0.8927,0.77884424,0.772554,0.5007323892594148,0.389992537156133
1,8,8,0.75334072,0.747252,0.4028,0.00069,0.00069,0.8631,0.75403072,0.747942,0.5009159194542846,0.37770599140557626
2,8,8,0.756716,0.7506,0.3975,0.00063,0.00063,0.8636,0.757346,0.75123,0.5008325442614241,0.3793035240662125
3,8,8,0.75742372,0.751302,0.3975,0.00039,0.00039,0.9145,0.75781372,0.751692,0.5005149031992306,0.3792970607088489
4,8,8,0.75579052,0.749682,0.3986,0.00081,0.00081,0.8402,0.75660052,0.750492,0.5010717243048227,0.3791111271663255
5,8,8,0.75437508,0.748278,0.4003,0.00081,0.00081,0.8615,0.75518508,0.749088,0.5010737351850807,0.37840340879164397
6,8,8,0.75306852,0.746982,0.4024,0.00081,0.00081,0.8430,0.75387852,0.747792,0.5010755980915267,0.37775013029735494
7,8,8,0.75911136,0.752976,0.3954,0.00036,0.00036,0.9231,0.75947136,0.753336,0.5004742386137329,0.38009585064493623
8,8,8,0.75497392,0.748872,0.3993,0.00075,0.00075,0.8547,0.75572392,0.749622,0.5009934108185491,0.37861270431796434
9,8,8,0.75829476,0.752166,0.3956,0.00063,0.00063,0.8779,0.75892476,0.752796,0.5008308109173064,0.38009290297602216
10,8,8,0.755355,0.74925,0.3995,0.00048,0.00048,0.8987,0.755835,0.74973,0.5006354625390312,0.3783978048281887
