simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
1,1,1,0.44472036,0.441126,0.1099,0.48036,0.44008554,0.1119,0.92508036,0.88121154,0.9985179475591025,0.9237093423944357
2,1,1,0.44167172,0.438102,0.1063,0.48606,0.44543943,0.1064,0.92773172,0.88354143,0.997715986045108,0.9256127678051241
3,1,1,0.44281496,0.439236,0.1064,0.48474,0.44421296,0.1070,0.92755496,0.88344896,0.9979611686167656,0.9256638318378774
4,1,1,0.43535668,0.431838,0.1140,0.48846,0.44752649,0.1122,0.92381668,0.87936449,0.9967066408009359,0.920774219838673
5,1,1,0.43666324,0.433134,0.1100,0.48954,0.44912211,0.1083,0.92620324,0.88225611,0.9967513426283003,0.9231943230166819
6,1,1,0.434159,0.43065,0.1141,0.48978,0.44912262,0.1118,0.923939,0.87977262,0.9963890627746138,0.9206027142709139
7,1,1,0.4434138,0.43983,0.1086,0.48264,0.44220472,0.1098,0.9260538,0.88203472,0.9982089755655481,0.9243952150165831
8,1,1,0.44118176,0.437616,0.1113,0.48354,0.44346591,0.1119,0.92472176,0.88108191,0.9979061606246533,0.9227855411676721
9,1,1,0.43982076,0.436266,0.1123,0.4845,0.44449642,0.1123,0.92432076,0.88076242,0.9976689446094242,0.9221661171097809
10,1,1,0.43894972,0.435402,0.1099,0.4869,0.44623985,0.1093,0.92584972,0.88164185,0.9973249126753171,0.9233729911494668
1,2,2,0.40742896,0.404136,0.2439,0.44358,0.40704125,0.2454,0.85100896,0.81117725,0.9981986822925824,0.8494760224911809
2,2,2,0.4020394,0.39879,0.2474,0.44916,0.41183634,0.2400,0.8511994,0.81062634,0.9969448668151515,0.8485988724661369
3,2,2,0.40579576,0.402516,0.2423,0.4458,0.40879848,0.2447,0.85159576,0.81131448,0.9977981498375046,0.8497206737374636
4,2,2,0.41080424,0.407484,0.2408,0.44094,0.4042312,0.2444,0.85174424,0.8117152,0.9987497335916079,0.8506793327881866
5,2,2,0.41390732,0.410562,0.2382,0.4371,0.4009635,0.2500,0.85100732,0.8115255,0.9992578138711586,0.8503757141715536
6,2,2,0.4077556,0.40446,0.2392,0.4452,0.40721113,0.2422,0.8529556,0.81167113,0.998076532969396,0.851314968024831
7,2,2,0.4093888,0.40608,0.2472,0.43764,0.40094668,0.2525,0.8470288,0.80702668,0.9988887939784824,0.8460875764970412
8,2,2,0.401495,0.39825,0.2406,0.45474,0.41680911,0.2306,0.856235,0.81505911,0.9961479178394537,0.8529367124312646
9,2,2,0.40193052,0.398682,0.2482,0.4479,0.41008041,0.2441,0.84983052,0.80876241,0.9970825350736767,0.847351169264581
10,2,2,0.4063946,0.40311,0.2431,0.44616,0.40924802,0.2422,0.8525546,0.81235802,0.9978291865203311,0.8507038629821664
1,3,3,0.37922904,0.376164,0.3365,0.41706,0.38195886,0.3298,0.79628904,0.75812286,0.997747970367016,0.7944957734854996
2,3,3,0.38766724,0.384534,0.3246,0.4137,0.37918845,0.3263,0.80136724,0.76372245,0.9989458092782483,0.8005224460908762
3,3,3,0.38832052,0.385182,0.3266,0.41154,0.3771396,0.3283,0.79986052,0.7623216,0.9991580028375272,0.799187039711786
4,3,3,0.38777612,0.384642,0.3316,0.40704,0.37289683,0.3359,0.79481612,0.75753883,0.999412917474711,0.7943494973451299
5,3,3,0.385163,0.38205,0.3307,0.41358,0.37916837,0.3284,0.798743,0.76121837,0.9987358664117499,0.7977332821453204
6,3,3,0.3952344,0.39204,0.3185,0.40476,0.37098868,0.3361,0.7999944,0.76302868,0.9998582414644376,0.7998809939653979
7,3,3,0.38314872,0.380052,0.3277,0.4173,0.38266372,0.3253,0.80044872,0.76271572,0.9981829908770697,0.7989942973733222
8,3,3,0.3927846,0.38961,0.3245,0.40338,0.36959609,0.3413,0.7961646,0.75920609,0.999822927108896,0.7960236208324833
9,3,3,0.386524,0.3834,0.3330,0.4074,0.37329977,0.3389,0.793924,0.75669977,0.9993090660347296,0.7933754509425566
10,3,3,0.38249544,0.379404,0.3299,0.41754,0.38274296,0.3242,0.80003544,0.76214696,0.998084905279284,0.7985032963524703
1,4,4,0.36763332,0.364662,0.3959,0.38508,0.35328852,0.4002,0.75271332,0.71795052,0.9994630508841864,0.752309151248365
2,4,4,0.37117192,0.368172,0.3917,0.38256,0.35008435,0.4000,0.75373192,0.71825635,0.9997717724469397,0.7535598976082349
3,4,4,0.37138968,0.368388,0.3881,0.38244,0.35032522,0.4035,0.75382968,0.71871322,0.9997851625784356,0.75366772917525
4,4,4,0.37928348,0.376218,0.3842,0.37674,0.3450415,0.4017,0.75602348,0.7212595,0.9999886817007796,0.7560149231000357
5,4,4,0.36055612,0.357642,0.3983,0.39456,0.36177576,0.3927,0.75511612,0.71941776,0.9979762834322085,0.7535879789973495
6,4,4,0.36806884,0.365094,0.3909,0.3879,0.35544097,0.3933,0.75596884,0.72053497,0.9993123147859704,0.7554489714064648
