simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint airtime fairness
1,0,1,0.0,0.0,0,0.8571,0.8571,0.0000,0.8571,0.8571,0.5,0.42855
2,0,1,0.0,0.0,0,0.8571,0.8571,0.0000,0.8571,0.8571,0.5,0.42855
3,0,1,0.0,0.0,0,0.8571,0.8571,0.0000,0.8571,0.8571,0.5,0.42855
4,0,1,0.0,0.0,0,0.8571,0.8571,0.0000,0.8571,0.8571,0.5,0.42855
5,0,1,0.0,0.0,0,0.8571,0.8571,0.0000,0.8571,0.8571,0.5,0.42855
6,0,1,0.0,0.0,0,0.8571,0.8571,0.0000,0.8571,0.8571,0.5,0.42855
7,0,1,0.0,0.0,0,0.8571,0.8571,0.0000,0.8571,0.8571,0.5,0.42855
8,0,1,0.0,0.0,0,0.8571,0.8571,0.0000,0.8571,0.8571,0.5,0.42855
9,0,1,0.0,0.0,0,0.8571,0.8571,0.0000,0.8571,0.8571,0.5,0.42855
10,0,1,0.0,0.0,0,0.8571,0.8571,0.0000,0.8571,0.8571,0.5,0.42855
1,0,2,0.0,0.0,0,0.8571,0.8571,0.0000,0.8571,0.8571,0.5,0.42855
2,0,2,0.0,0.0,0,0.8571,0.8571,0.0000,0.8571,0.8571,0.5,0.42855
3,0,2,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
4,0,2,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
5,0,2,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
6,0,2,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
7,0,2,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
8,0,2,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
9,0,2,0.0,0.0,0,0.8571,0.8571,0.0000,0.8571,0.8571,0.5,0.42855
10,0,2,0.0,0.0,0,0.8571,0.8571,0.0000,0.8571,0.8571,0.5,0.42855
1,0,3,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
2,0,3,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
3,0,3,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
4,0,3,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
5,0,3,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
6,0,3,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
7,0,3,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
8,0,3,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
9,0,3,0.0,0.0,0,0.8571,0.8571,0.0000,0.8571,0.8571,0.5,0.42855
10,0,3,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
1,0,4,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
2,0,4,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
3,0,4,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
4,0,4,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
5,0,4,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
6,0,4,0.0,0.0,0,0.95994,0.95994,0.0000,0.95994,0.95994,0.5,0.47997
7,0,4,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
8,0,4,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
9,0,4,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
10,0,4,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
1,0,5,0.0,0.0,0,0.95994,0.95994,0.0000,0.95994,0.95994,0.5,0.47997
2,0,5,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
3,0,5,0.0,0.0,0,0.9231,0.9231,0.0000,0.9231,0.9231,0.5,0.46155
4,0,5,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
5,0,5,0.0,0.0,0,0.92304,0.92304,0.0000,0.92304,0.92304,0.5,0.46152
6,0,5,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
7,0,5,0.0,0.0,0,0.9474,0.9474,0.0000,0.9474,0.9474,0.5,0.4737
8,0,5,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
9,0,5,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
10,0,5,0.0,0.0,0,0.95994,0.95994,0.0000,0.95994,0.95994,0.5,0.47997
1,0,6,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
2,0,6,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
3,0,6,0.0,0.0,0,0.9231,0.9231,0.0000,0.9231,0.9231,0.5,0.46155
4,0,6,0.0,0.0,0,0.9231,0.9231,0.0000,0.9231,0.9231,0.5,0.46155
5,0,6,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
6,0,6,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
7,0,6,0.0,0.0,0,0.96,0.96,0.0000,0.96,0.96,0.5,0.48
8,0,6,0.0,0.0,0,0.95994,0.95994,0.0000,0.95994,0.95994,0.5,0.47997
9,0,6,0.0,0.0,0,0.9474,0.9474,0.0000,0.9474,0.9474,0.5,0.4737
10,0,6,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
1,0,7,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
2,0,7,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
3,0,7,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
4,0,7,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
5,0,7,0.0,0.0,0,0.9474,0.9474,0.0000,0.9474,0.9474,0.5,0.4737
6,0,7,0.0,0.0,0,0.9474,0.9474,0.0000,0.9474,0.9474,0.5,0.4737
7,0,7,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
8,0,7,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
9,0,7,0.0,0.0,0,0.9474,0.9474,0.0000,0.9474,0.9474,0.5,0.4737
10,0,7,0.0,0.0,0,0.9474,0.9474,0.0000,0.9474,0.9474,0.5,0.4737
1,0,8,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
2,0,8,0.0,0.0,0,0.94734,0.94734,0.0000,0.94734,0.94734,0.5,0.47367
3,0,8,0.0,0.0,0,0.96,0.96,0.0000,0.96,0.96,0.5,0.48
4,0,8,0.0,0.0,0,0.96,0.96,0.0000,0.96,0.96,0.5,0.48
5,0,8,0.0,0.0,0,0.9474,0.9474,0.0000,0.9474,0.9474,0.5,0.4737
6,0,8,0.0,0.0,0,0.9474,0.9474,0.0000,0.9474,0.9474,0.5,0.4737
7,0,8,0.0,0.0,0,0.9474,0.9474,0.0000,0.9474,0.9474,0.5,0.4737
8,0,8,0.0,0.0,0,0.96,0.96,0.0000,0.96,0.96,0.5,0.48
9,0,8,0.0,0.0,0,0.94746,0.94746,0.0000,0.94746,0.94746,0.5,0.47373
10,0,8,0.0,0.0,0,0.96,0.96,0.0000,0.96,0.96,0.5,0.48
