simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint airtime fairness
1,0,1,0.0,0.0,0,0.9819,0.90013344,0.0000,0.9819,0.90013344,0.5,0.49095
2,0,1,0.0,0.0,0,0.9819,0.89998065,0.0000,0.9819,0.89998065,0.5,0.49095
3,0,1,0.0,0.0,0,0.98178,0.9000181,0.0000,0.98178,0.9000181,0.5,0.49089
4,0,1,0.0,0.0,0,0.98184,0.89978054,0.0000,0.98184,0.89978054,0.5,0.49092
5,0,1,0.0,0.0,0,0.9819,0.89985975,0.0000,0.9819,0.89985975,0.5,0.49095
6,0,1,0.0,0.0,0,0.98184,0.89982498,0.0000,0.98184,0.89982498,0.5,0.49092
7,0,1,0.0,0.0,0,0.9819,0.89985659,0.0000,0.9819,0.89985659,0.5,0.49095
8,0,1,0.0,0.0,0,0.9819,0.89978523,0.0000,0.9819,0.89978523,0.5,0.49095
9,0,1,0.0,0.0,0,0.98196,0.89993516,0.0000,0.98196,0.89993516,0.5,0.49098
10,0,1,0.0,0.0,0,0.98184,0.89966701,0.0000,0.98184,0.89966701,0.5,0.49092
1,0,2,0.0,0.0,0,0.92802,0.85036931,0.1114,0.92802,0.85036931,0.5,0.46401
2,0,2,0.0,0.0,0,0.92832,0.8507229,0.1108,0.92832,0.8507229,0.5,0.46416
3,0,2,0.0,0.0,0,0.9297,0.85210114,0.1084,0.9297,0.85210114,0.5,0.46485
4,0,2,0.0,0.0,0,0.92706,0.85041061,0.1131,0.92706,0.85041061,0.5,0.46353
5,0,2,0.0,0.0,0,0.92784,0.85132002,0.1118,0.92784,0.85132002,0.5,0.46392
6,0,2,0.0,0.0,0,0.9276,0.85006922,0.1122,0.9276,0.85006922,0.5,0.4638
7,0,2,0.0,0.0,0,0.92904,0.85163203,0.1096,0.92904,0.85163203,0.5,0.46452
8,0,2,0.0,0.0,0,0.92868,0.8513917,0.1104,0.92868,0.8513917,0.5,0.46434
9,0,2,0.0,0.0,0,0.92838,0.85127681,0.1109,0.92838,0.85127681,0.5,0.46419
10,0,2,0.0,0.0,0,0.92904,0.85157715,0.1096,0.92904,0.85157715,0.5,0.46452
1,0,3,0.0,0.0,0,0.88704,0.81317355,0.1880,0.88704,0.81317355,0.5,0.44352
2,0,3,0.0,0.0,0,0.89064,0.81662486,0.1813,0.89064,0.81662486,0.5,0.44532
3,0,3,0.0,0.0,0,0.89268,0.81870479,0.1787,0.89268,0.81870479,0.5,0.44634
4,0,3,0.0,0.0,0,0.88764,0.81378917,0.1873,0.88764,0.81378917,0.5,0.44382
5,0,3,0.0,0.0,0,0.89052,0.81596435,0.1818,0.89052,0.81596435,0.5,0.44526
6,0,3,0.0,0.0,0,0.88902,0.81439281,0.1847,0.88902,0.81439281,0.5,0.44451
7,0,3,0.0,0.0,0,0.89076,0.81695157,0.1818,0.89076,0.81695157,0.5,0.44538
8,0,3,0.0,0.0,0,0.88848,0.81376254,0.1855,0.88848,0.81376254,0.5,0.44424
9,0,3,0.0,0.0,0,0.88794,0.8138994,0.1861,0.88794,0.8138994,0.5,0.44397
10,0,3,0.0,0.0,0,0.89196,0.81786112,0.1798,0.89196,0.81786112,0.5,0.44598
1,0,4,0.0,0.0,0,0.858,0.78635573,0.2400,0.858,0.78635573,0.5,0.429
2,0,4,0.0,0.0,0,0.85842,0.78729837,0.2383,0.85842,0.78729837,0.5,0.42921
3,0,4,0.0,0.0,0,0.8598,0.78850823,0.2365,0.8598,0.78850823,0.5,0.4299
4,0,4,0.0,0.0,0,0.85818,0.78612365,0.2392,0.85818,0.78612365,0.5,0.42909
5,0,4,0.0,0.0,0,0.85776,0.78595392,0.2407,0.85776,0.78595392,0.5,0.42888
6,0,4,0.0,0.0,0,0.85698,0.78578561,0.2407,0.85698,0.78578561,0.5,0.42849
7,0,4,0.0,0.0,0,0.85632,0.78464943,0.2428,0.85632,0.78464943,0.5,0.42816
8,0,4,0.0,0.0,0,0.85944,0.788008,0.2375,0.85944,0.788008,0.5,0.42972
9,0,4,0.0,0.0,0,0.85722,0.78570207,0.2415,0.85722,0.78570207,0.5,0.42861
10,0,4,0.0,0.0,0,0.85938,0.78807222,0.2369,0.85938,0.78807222,0.5,0.42969
1,0,5,0.0,0.0,0,0.82752,0.7579888,0.2904,0.82752,0.7579888,0.5,0.41376
2,0,5,0.0,0.0,0,0.82836,0.75937256,0.2882,0.82836,0.75937256,0.5,0.41418
3,0,5,0.0,0.0,0,0.83244,0.76356569,0.2833,0.83244,0.76356569,0.5,0.41622
4,0,5,0.0,0.0,0,0.83076,0.76143698,0.2851,0.83076,0.76143698,0.5,0.41538
5,0,5,0.0,0.0,0,0.82788,0.75885311,0.2902,0.82788,0.75885311,0.5,0.41394
6,0,5,0.0,0.0,0,0.82812,0.75869823,0.2888,0.82812,0.75869823,0.5,0.41406
7,0,5,0.0,0.0,0,0.82602,0.75718547,0.2931,0.82602,0.75718547,0.5,0.41301
8,0,5,0.0,0.0,0,0.82758,0.75835071,0.2903,0.82758,0.75835071,0.5,0.41379
9,0,5,0.0,0.0,0,0.82866,0.75916316,0.2884,0.82866,0.75916316,0.5,0.41433
10,0,5,0.0,0.0,0,0.83034,0.76038527,0.2871,0.83034,0.76038527,0.5,0.41517
1,0,6,0.0,0.0,0,0.80172,0.73468665,0.3308,0.80172,0.73468665,0.5,0.40086
2,0,6,0.0,0.0,0,0.80466,0.73684119,0.3275,0.80466,0.73684119,0.5,0.40233
3,0,6,0.0,0.0,0,0.80898,0.74167853,0.3210,0.80898,0.74167853,0.5,0.40449
4,0,6,0.0,0.0,0,0.80436,0.73695817,0.3272,0.80436,0.73695817,0.5,0.40218
5,0,6,0.0,0.0,0,0.8019,0.73450223,0.3312,0.8019,0.73450223,0.5,0.40095
6,0,6,0.0,0.0,0,0.80202,0.73501428,0.3294,0.80202,0.73501428,0.5,0.40101
7,0,6,0.0,0.0,0,0.80472,0.73777732,0.3285,0.80472,0.73777732,0.5,0.40236
8,0,6,0.0,0.0,0,0.8028,0.73577917,0.3312,0.8028,0.73577917,0.5,0.4014
9,0,6,0.0,0.0,0,0.80316,0.73582967,0.3293,0.80316,0.73582967,0.5,0.40158
10,0,6,0.0,0.0,0,0.8088,0.74123221,0.3209,0.8088,0.74123221,0.5,0.4044
1,0,7,0.0,0.0,0,0.77946,0.71436163,0.3665,0.77946,0.71436163,0.5,0.38973
2,0,7,0.0,0.0,0,0.78138,0.71620215,0.3627,0.78138,0.71620215,0.5,0.39069
3,0,7,0.0,0.0,0,0.78054,0.71504567,0.3632,0.78054,0.71504567,0.5,0.39027
4,0,7,0.0,0.0,0,0.78282,0.71716482,0.3617,0.78282,0.71716482,0.5,0.39141
5,0,7,0.0,0.0,0,0.78216,0.7167161,0.3619,0.78216,0.7167161,0.5,0.39108
6,0,7,0.0,0.0,0,0.78036,0.71598526,0.3640,0.78036,0.71598526,0.5,0.39018
7,0,7,0.0,0.0,0,0.7827,0.7172451,0.3610,0.7827,0.7172451,0.5,0.39135
8,0,7,0.0,0.0,0,0.78126,0.71585486,0.3635,0.78126,0.71585486,0.5,0.39063
9,0,7,0.0,0.0,0,0.78222,0.71729085,0.3634,0.78222,0.71729085,0.5,0.39111
10,0,7,0.0,0.0,0,0.78252,0.71764724,0.3619,0.78252,0.71764724,0.5,0.39126
1,0,8,0.0,0.0,0,0.76146,0.69765012,0.3936,0.76146,0.69765012,0.5,0.38073
2,0,8,0.0,0.0,0,0.76464,0.70150081,0.3888,0.76464,0.70150081,0.5,0.38232
3,0,8,0.0,0.0,0,0.76338,0.69972062,0.3918,0.76338,0.69972062,0.5,0.38169
4,0,8,0.0,0.0,0,0.76482,0.70067841,0.3898,0.76482,0.70067841,0.5,0.38241
5,0,8,0.0,0.0,0,0.76368,0.70012787,0.3914,0.76368,0.70012787,0.5,0.38184
