simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint airtime fairness
1,1,0,0.98008332,0.972162,0.0000,0.0,0.0,0,0.98008332,0.972162,0.5,0.49004166
2,1,0,0.98002888,0.972108,0.0000,0.0,0.0,0,0.98002888,0.972108,0.5,0.49001444
3,1,0,0.98002888,0.972108,0.0000,0.0,0.0,0,0.98002888,0.972108,0.5,0.49001444
4,1,0,0.97997444,0.972054,0.0000,0.0,0.0,0,0.97997444,0.972054,0.5,0.48998722
5,1,0,0.98008332,0.972162,0.0000,0.0,0.0,0,0.98008332,0.972162,0.5,0.49004166
6,1,0,0.98002888,0.972108,0.0000,0.0,0.0,0,0.98002888,0.972108,0.5,0.49001444
7,1,0,0.98002888,0.972108,0.0000,0.0,0.0,0,0.98002888,0.972108,0.5,0.49001444
8,1,0,0.98008332,0.972162,0.0000,0.0,0.0,0,0.98008332,0.972162,0.5,0.49004166
9,1,0,0.98013776,0.972216,0.0000,0.0,0.0,0,0.98013776,0.972216,0.5,0.49006888
10,1,0,0.98002888,0.972108,0.0000,0.0,0.0,0,0.98002888,0.972108,0.5,0.49001444
1,2,0,0.92651436,0.919026,0.1118,0.0,0.0,0,0.92651436,0.919026,0.5,0.46325718
2,2,0,0.92776648,0.920268,0.1095,0.0,0.0,0,0.92776648,0.920268,0.5,0.46388324
3,2,0,0.92852864,0.921024,0.1081,0.0,0.0,0,0.92852864,0.921024,0.5,0.46426432
4,2,0,0.92504448,0.917568,0.1143,0.0,0.0,0,0.92504448,0.917568,0.5,0.46252224
5,2,0,0.92722208,0.919728,0.1105,0.0,0.0,0,0.92722208,0.919728,0.5,0.46361104
6,2,0,0.9262966,0.91881,0.1122,0.0,0.0,0,0.9262966,0.91881,0.5,0.4631483
7,2,0,0.9279298,0.92043,0.1093,0.0,0.0,0,0.9279298,0.92043,0.5,0.4639649
8,2,0,0.9273854,0.91989,0.1103,0.0,0.0,0,0.9273854,0.91989,0.5,0.4636927
9,2,0,0.92776648,0.920268,0.1096,0.0,0.0,0,0.92776648,0.920268,0.5,0.46388324
10,2,0,0.92809312,0.920592,0.1089,0.0,0.0,0,0.92809312,0.920592,0.5,0.46404656
1,3,0,0.8857388,0.87858,0.1883,0.0,0.0,0,0.8857388,0.87858,0.5,0.4428694
2,3,0,0.8903662,0.88317,0.1801,0.0,0.0,0,0.8903662,0.88317,0.5,0.4451831
3,3,0,0.89096504,0.883764,0.1798,0.0,0.0,0,0.89096504,0.883764,0.5,0.44548252
4,3,0,0.8876442,0.88047,0.1854,0.0,0.0,0,0.8876442,0.88047,0.5,0.4438221
5,3,0,0.88807972,0.880902,0.1842,0.0,0.0,0,0.88807972,0.880902,0.5,0.44403986
6,3,0,0.88704536,0.879876,0.1860,0.0,0.0,0,0.88704536,0.879876,0.5,0.44352268
7,3,0,0.88971292,0.882522,0.1817,0.0,0.0,0,0.88971292,0.882522,0.5,0.44485646
8,3,0,0.8879164,0.88074,0.1848,0.0,0.0,0,0.8879164,0.88074,0.5,0.4439582
9,3,0,0.887372,0.8802,0.1856,0.0,0.0,0,0.887372,0.8802,0.5,0.443686
